activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,642291,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCCc2ccccc2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '16.19', 'le': '0.31', 'lle': '5.55', 'sei': '7.53'}",CHEMBL419449,,CHEMBL419449,8.30,False,http://www.openphacts.org/units/Nanomolar,127405,=,1,True,=,,IC50,nM,,5.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.005
,643601,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCc2ccc3ccccc3c2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '15.37', 'le': '0.29', 'lle': '5.27', 'sei': '7.26'}",CHEMBL70763,,CHEMBL70763,8.00,False,http://www.openphacts.org/units/Nanomolar,127398,=,1,True,=,,IC50,nM,,10.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.01
,645846,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccc(OCc3ccccc3)cc2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '15.71', 'le': '0.29', 'lle': '5.96', 'sei': '7.03'}",CHEMBL70813,,CHEMBL70813,8.40,False,http://www.openphacts.org/units/Nanomolar,127415,=,1,True,=,,IC50,nM,,4.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.004
,647002,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2cc3cc(F)ccc3[nH]2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '13.07', 'le': '0.25', 'lle': '4.86', 'sei': '5.04'}",CHEMBL71072,,CHEMBL71072,6.35,False,http://www.openphacts.org/units/Nanomolar,127427,=,1,True,=,,IC50,nM,,450.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.45
,647004,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2cccc(Oc3ccccc3)c2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '15.03', 'le': '0.28', 'lle': '5.16', 'sei': '6.55'}",CHEMBL424233,,CHEMBL424233,7.82,False,http://www.openphacts.org/units/Nanomolar,127409,=,1,True,=,,IC50,nM,,15.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.015
,647006,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cccc(CCC(=O)N2CCN(C(=O)N3C(=O)[C@H](CC4CCNCC4)[C@H]3C(=O)O)CC2)c1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '16.76', 'le': '0.32', 'lle': '6.40', 'sei': '7.15'}",CHEMBL429029,,CHEMBL429029,7.89,False,http://www.openphacts.org/units/Nanomolar,127391,=,1,True,=,,IC50,nM,,13.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.013
,648245,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccc(C3CCCCC3)cc2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '14.49', 'le': '0.27', 'lle': '4.49', 'sei': '6.71'}",CHEMBL74178,,CHEMBL74178,7.40,False,http://www.openphacts.org/units/Nanomolar,127420,=,1,True,=,,IC50,nM,,40.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.04
,648247,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccc(-c3ccccc3)cc2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '16.29', 'le': '0.30', 'lle': '5.69', 'sei': '7.46'}",CHEMBL73215,,CHEMBL73215,8.22,False,http://www.openphacts.org/units/Nanomolar,127419,=,1,True,=,,IC50,nM,,6.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.006
,648250,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CCCCCCc1ccc(-c2ccc(C(=O)N3CCN(C(=O)N4C(=O)[C@H](CC5CCNCC5)[C@H]4C(=O)O)CC3)cc2)cc1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '11.76', 'le': '0.22', 'lle': '2.26', 'sei': '6.28'}",CHEMBL72626,,CHEMBL72626,6.92,False,http://www.openphacts.org/units/Nanomolar,127394,=,1,True,=,,IC50,nM,,120.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.12
,650637,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCCCc2ccccc2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '15.76', 'le': '0.30', 'lle': '5.16', 'sei': '7.53'}",CHEMBL70410,,CHEMBL70410,8.30,False,http://www.openphacts.org/units/Nanomolar,127404,=,1,True,=,,IC50,nM,,5.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.005
